,city,health_checkup,known,name,price
250,karnal,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
251,surat,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
252,raigarh,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
253,gurgaon,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
254,thane,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
255,hyderabad,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
256,chennai,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
257,bhubaneswar,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
258,indore,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
259,lucknow,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
260,patna,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
261,ernakulam,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
262,aurangabad,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
263,bhopal,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
264,krishnamedak,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
265,mohali,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
266,salem,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
267,rangareddy,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
268,bangalore,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
269,pune,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
270,kolkata,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
271,coimbatore,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
272,chandigarh,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
273,ghaziabad,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
274,jaipur,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
275,vadodara,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
276,panchkula,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
277,raipur,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
278,madurai,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
279,vijayawada,bone-joints-checkups,Ideal for individuals aged 10 - 100 years,Basic Bones and Joints Checkup,₹1399
280,delhi,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
281,mumbai,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
282,noida,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever profile,₹399
283,navi mumbai,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
284,faridabad,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
285,ahmedabad,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
286,jodhpur,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
287,ludhiana,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
288,visakhapatnam,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
289,nagpur,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
290,karnal,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
291,surat,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
292,raigarh,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
293,gurgaon,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
294,thane,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
295,hyderabad,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
296,chennai,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
297,bhubaneswar,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
298,indore,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
299,lucknow,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
300,patna,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
301,ernakulam,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
302,aurangabad,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
303,bhopal,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
304,krishnamedak,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
305,mohali,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
306,salem,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
307,rangareddy,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
308,bangalore,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
309,pune,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
310,kolkata,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
311,coimbatore,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
312,chandigarh,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
313,ghaziabad,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
314,jaipur,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
315,vadodara,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
316,panchkula,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
317,raipur,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
318,madurai,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
319,vijayawada,fever-checkup,Ideal for individuals aged 5 - 100 years,Fever Profile,₹399
