,city,health_checkup,known,name,price
46,jodhpur,cancer-screening-health-checkup,Ideal for individuals aged 21 - 80 years,Men's Cancer Marker Checkup,₹2199
47,ludhiana,cancer-screening-health-checkup,Ideal for individuals aged 21 - 80 years,Men's Cancer Marker Checkup,₹2199
48,visakhapatnam,cancer-screening-health-checkup,Ideal for individuals aged 21 - 80 years,Men's Cancer Marker Checkup,₹2199
49,nagpur,cancer-screening-health-checkup,Ideal for individuals aged 21 - 80 years,Men's Cancer Marker Checkup,₹2199
50,karnal,cancer-screening-health-checkup,Ideal for individuals aged 21 - 80 years,Men's Cancer Marker Checkup,₹2199
51,surat,cancer-screening-health-checkup,Ideal for individuals aged 21 - 80 years,Men's Cancer Marker Checkup,₹2199
52,raigarh,cancer-screening-health-checkup,Ideal for individuals aged 21 - 80 years,Men's Cancer Marker Checkup,₹2199
53,gurgaon,cancer-screening-health-checkup,Ideal for individuals aged 21 - 80 years,Men's Cancer Marker Checkup,₹2199
54,thane,cancer-screening-health-checkup,Ideal for individuals aged 21 - 80 years,Men's Cancer Marker Checkup,₹2199
55,hyderabad,cancer-screening-health-checkup,Ideal for individuals aged 21 - 80 years,Men's Cancer Marker Checkup,₹2199
56,chennai,cancer-screening-health-checkup,Ideal for individuals aged 21 - 80 years,Men's Cancer Marker Checkup,₹2199
57,bhubaneswar,cancer-screening-health-checkup,Ideal for individuals aged 21 - 80 years,Men's Cancer Marker Checkup,₹2199
58,indore,cancer-screening-health-checkup,Ideal for individuals aged 21 - 80 years,Men's Cancer Marker Checkup,₹2199
59,lucknow,cancer-screening-health-checkup,Ideal for individuals aged 21 - 80 years,Men's Cancer Marker Checkup,₹2199
60,patna,cancer-screening-health-checkup,Ideal for individuals aged 21 - 80 years,Men's Cancer Marker Checkup,₹2199
61,ernakulam,cancer-screening-health-checkup,Ideal for individuals aged 21 - 80 years,Men's Cancer Marker Checkup,₹2199
62,aurangabad,cancer-screening-health-checkup,Ideal for individuals aged 21 - 80 years,Men's Cancer Marker Checkup,₹2199
63,bhopal,cancer-screening-health-checkup,Ideal for individuals aged 21 - 80 years,Men's Cancer Marker Checkup,₹2199
64,krishnamedak,cancer-screening-health-checkup,Ideal for individuals aged 21 - 80 years,Men's Cancer Marker Checkup,₹2199
65,mohali,cancer-screening-health-checkup,Ideal for individuals aged 21 - 80 years,Men's Cancer Marker Checkup,₹2199
66,salem,cancer-screening-health-checkup,Ideal for individuals aged 21 - 80 years,Men's Cancer Marker Checkup,₹2199
67,rangareddy,cancer-screening-health-checkup,Ideal for individuals aged 21 - 80 years,Men's Cancer Marker Checkup,₹2199
68,bangalore,cancer-screening-health-checkup,Ideal for individuals aged 21 - 80 years,Men's Cancer Marker Checkup,₹2199
69,pune,cancer-screening-health-checkup,Ideal for individuals aged 21 - 80 years,Men's Cancer Marker Checkup,₹2199
70,kolkata,cancer-screening-health-checkup,Ideal for individuals aged 21 - 80 years,Men's Cancer Marker Checkup,₹2199
71,coimbatore,cancer-screening-health-checkup,Ideal for individuals aged 21 - 80 years,Men's Cancer Marker Checkup,₹2199
72,chandigarh,cancer-screening-health-checkup,Ideal for individuals aged 21 - 80 years,Men's Cancer Marker Checkup,₹2199
73,ghaziabad,cancer-screening-health-checkup,Ideal for individuals aged 21 - 80 years,Men's Cancer Marker Checkup,₹2199
74,jaipur,cancer-screening-health-checkup,Ideal for individuals aged 21 - 80 years,Men's Cancer Marker Checkup,₹2199
75,vadodara,cancer-screening-health-checkup,Ideal for individuals aged 21 - 80 years,Men's Cancer Marker Checkup,₹2199
76,panchkula,cancer-screening-health-checkup,Ideal for individuals aged 21 - 80 years,Men's Cancer Marker Checkup,₹2199
77,raipur,cancer-screening-health-checkup,Ideal for individuals aged 21 - 80 years,Men's Cancer Marker Checkup,₹2199
78,madurai,cancer-screening-health-checkup,Ideal for individuals aged 21 - 80 years,Men's Cancer Marker Checkup,₹2199
79,vijayawada,cancer-screening-health-checkup,Ideal for individuals aged 21 - 80 years,Men's Cancer Marker Checkup,₹2199
80,delhi,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
81,mumbai,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
82,noida,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
83,navi mumbai,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
84,faridabad,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
85,ahmedabad,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
86,jodhpur,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
87,ludhiana,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
88,visakhapatnam,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
89,nagpur,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
90,karnal,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
91,surat,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
92,raigarh,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
93,gurgaon,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
94,thane,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
95,hyderabad,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
96,chennai,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
97,bhubaneswar,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
98,indore,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
99,lucknow,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
100,patna,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
101,ernakulam,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
102,aurangabad,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
103,bhopal,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
104,krishnamedak,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
105,mohali,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
106,salem,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
107,rangareddy,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
108,bangalore,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
109,pune,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
110,kolkata,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
111,coimbatore,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
112,chandigarh,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
113,ghaziabad,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
114,jaipur,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
115,vadodara,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
116,panchkula,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
117,raipur,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
118,madurai,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
119,vijayawada,skin-care-checkups,Ideal for individuals aged 15 - 60 years,Women's Skincare Checkup,₹3499
120,delhi,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
121,mumbai,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
122,noida,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
123,navi mumbai,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
124,faridabad,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
125,ahmedabad,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
126,jodhpur,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
127,ludhiana,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
128,visakhapatnam,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
129,nagpur,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
130,karnal,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
131,surat,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
132,raigarh,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
133,gurgaon,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
134,thane,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
135,hyderabad,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
136,chennai,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
137,bhubaneswar,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
138,indore,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
139,lucknow,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
140,patna,kidney-urine-checkups,Ideal for individuals aged 10 - 100 years,Kidney & Urine Profile,₹600
